Park_Quality_Index,site_name,Park_Type,Shape_Area,Park_Area_Log,Park_Area_MIN_MAX,Sports_Surface_Count,Sports_Log,Sports_MIN_MAX,Combined_Amenities_Count,Combined_Amenities_Count_Log,Combined_Amenities_MIN_MAX,Transit_Stop_Count_350m,Transit_Score,Water_Body_Count,Water_Body_Score,Path_Count_NonZero,Park_Path_Length,Pathway_Score
0.2260357,,SUBNEIGHBOURHOOD PARK,11351.368121246761802,4.055086465468624,0.260356590880430,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,2,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2259813,,SUBNEIGHBOURHOOD PARK,11293.955207801172946,4.052884512986054,0.259812929820041,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,4,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2259293,,SUBNEIGHBOURHOOD PARK,11239.326694248911735,4.050778933959705,0.259293063321894,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,6,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2255608,,SUBNEIGHBOURHOOD PARK,10859.621802230978574,4.035854690588662,0.255608274462532,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,5,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2253684,,LINEAR PARK,10666.486232675182691,4.028062091036664,0.253684285198836,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,6,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2252170,,SUBNEIGHBOURHOOD PARK,10516.877555917091740,4.021928110658930,0.252169808250325,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,9,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2251655,,SUBNEIGHBOURHOOD PARK,10466.483133591060323,4.019842269778770,0.251654815091440,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,8,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2248413,,COMMUNITY PARK,10154.781019992573420,4.006713327999817,0.248413285373682,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,11,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2247980,,SUBNEIGHBOURHOOD PARK,10113.837807845631687,4.004958923219291,0.247980123636140,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,7,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2247757,,SUBNEIGHBOURHOOD PARK,10092.816157837714854,4.004055390514201,0.247757041824687,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,11,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2247388,,LINEAR PARK,10058.160635738424389,4.002561743495710,0.247388261059276,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,12,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2247082,,SUBNEIGHBOURHOOD PARK,10029.448146156530129,4.001320337113635,0.247081758391577,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,8,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2245449,KEYSTONE HILLS GREENWAY,REGIONAL PARK,9877.843098885299696,3.994706087787128,0.245448703259373,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0.0000000,0,0.0000000,8.0000000,115.8392334,1.0000000
